what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004689923
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1386004697147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004701730
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004723911
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004727435
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004737773
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1386004737789
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1386004743390
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004755244
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1386004759612
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004767199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004805191
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1386004807156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004813786
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004833388
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004835771
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004835849
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004835935
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004840080
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004840080
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004841080
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004841080
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1386004841928
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004841928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004844839
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004854599
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004858467
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1386004858858
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004861026
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004862835
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004864535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004866000
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004876561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004883031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004950221
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004952155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004963740
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004967248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1386004967561
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004969542
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004969635
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004969682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004970159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004980485
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1386004982232
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386004982685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004983185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004989116
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1386004990144
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004992421
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1386004992890
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004994090
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004994152
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386004994215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386004994777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386005045542
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1386005046835
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386005047663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386005048285
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386005049050
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386005051031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386005054125
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1386005055172
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386005057794
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1386005058290
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386005059572
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386005059634
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1386005059697
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386005060318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386005067105
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1386005068804
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386005069195
